# Phase diagram for FCC GCM lattice,
# X-data rho,            Y-data T
1.727748691099509903e-01, 8.897022302200201585e-04
1.730366492146630519e-01, 8.523609064187941120e-04
1.732984293193751135e-01, 8.150195826175680655e-04
1.732984293193751135e-01, 7.839153835506942891e-04
1.735602094240871196e-01, 7.527948995628445591e-04
1.738219895287991812e-01, 7.341160952017431254e-04
1.740837696335112428e-01, 7.029956112138916607e-04
1.746073298429353660e-01, 6.656380024916896607e-04
1.746073298429353660e-01, 6.345338034248158843e-04
1.746073298429353660e-01, 5.972087645445683934e-04
1.746073298429353660e-01, 5.723254052910691989e-04
1.748691099476473720e-01, 5.349840814898440197e-04
1.756544502617835568e-01, 5.038310276600389132e-04
1.759162303664956184e-01, 4.664897038588128667e-04
1.764397905759197416e-01, 3.731445368162378956e-04
1.764397905759197416e-01, 4.291320951366099992e-04
1.772251308900559263e-01, 3.233289635463090436e-04
1.772251308900559263e-01, 2.735622450393115218e-04
1.780104712041920556e-01, 2.361883513961309661e-04
1.787958115183281849e-01, 2.174769771930750231e-04
1.787958115183281849e-01, 1.739310984994520831e-04
1.793193717277523080e-01, 1.490151694039983793e-04
1.801047120418884928e-01, 1.054204359474432418e-04
1.806282722513126160e-01, 7.428366703861582349e-05
1.808900523560246776e-01, 4.938402286413980796e-05
1.816753926701608068e-01, 1.823096903433383403e-05
1.821989528795849300e-01, -6.684960061119869790e-06
