# Created on: Sun Feb 25 17:25:32 2018
# T	K	U	Etot	Pc	Pk	Ptot
1.00043	1.50065	1.67976	3.18041	1.67976	0.500216	2.17997
1.00053	1.50079	1.67903	3.17983	1.67903	0.500264	2.1793
1.0006	1.5009	1.67818	3.17908	1.67818	0.5003	2.17848
1.00065	1.50097	1.67724	3.17821	1.67724	0.500324	2.17756
1.00067	1.50101	1.67624	3.17726	1.67624	0.500337	2.17658
1.00069	1.50104	1.67522	3.17625	1.67522	0.500346	2.17556
1.00071	1.50106	1.67417	3.17523	1.67417	0.500355	2.17452
1.00074	1.50111	1.67308	3.17419	1.67308	0.500369	2.17345
1.00078	1.50117	1.67194	3.17311	1.67194	0.500391	2.17233
1.00084	1.50126	1.67073	3.17198	1.67073	0.500419	2.17115
1.0009	1.50135	1.66942	3.17077	1.66942	0.500449	2.16987
1.00095	1.50143	1.66803	3.16946	1.66803	0.500475	2.1685
1.00098	1.50147	1.66657	3.16804	1.66657	0.500491	2.16706
1.00098	1.50147	1.6651	3.16656	1.6651	0.500489	2.16558
1.00093	1.5014	1.66365	3.16505	1.66365	0.500466	2.16412
1.00084	1.50126	1.66231	3.16358	1.66231	0.500421	2.16273
1.00071	1.50106	1.66114	3.1622	1.66114	0.500353	2.1615
1.00053	1.50079	1.66021	3.161	1.66021	0.500264	2.16048
1.00032	1.50048	1.65957	3.16005	1.65957	0.500158	2.15973
1.00008	1.50012	1.65927	3.15939	1.65927	0.50004	2.15931
0.999831	1.49975	1.65933	3.15908	1.65933	0.499915	2.15925
0.999579	1.49937	1.65978	3.15915	1.65978	0.499789	2.15957
0.999335	1.499	1.66059	3.1596	1.66059	0.499668	2.16026
0.99911	1.49866	1.66176	3.16043	1.66176	0.499555	2.16132
0.998909	1.49836	1.66326	3.16162	1.66326	0.499454	2.16271
0.998737	1.49811	1.66503	3.16313	1.66503	0.499368	2.16439
0.998596	1.49789	1.66703	3.16493	1.66703	0.499298	2.16633
0.99849	1.49774	1.66923	3.16696	1.66923	0.499245	2.16847
0.998422	1.49763	1.67155	3.16918	1.67155	0.499211	2.17076
0.998398	1.4976	1.67394	3.17154	1.67394	0.499199	2.17314
0.998424	1.49764	1.67633	3.17397	1.67633	0.499212	2.17555
0.998503	1.49775	1.67865	3.1764	1.67865	0.499251	2.1779
0.998632	1.49795	1.6808	3.17875	1.6808	0.499316	2.18012
0.9988	1.4982	1.68273	3.18093	1.68273	0.4994	2.18213
0.998986	1.49848	1.6844	3.18288	1.6844	0.499493	2.18389
0.999168	1.49875	1.68578	3.18453	1.68578	0.499584	2.18536
0.999321	1.49898	1.68691	3.18589	1.68691	0.49966	2.18657
0.999427	1.49914	1.68784	3.18698	1.68784	0.499714	2.18755
0.999478	1.49922	1.68865	3.18786	1.68865	0.499739	2.18839
0.99947	1.4992	1.68943	3.18863	1.68943	0.499735	2.18916
0.99941	1.49912	1.69026	3.18938	1.69026	0.499705	2.18996
0.999311	1.49897	1.69121	3.19018	1.69121	0.499656	2.19087
0.999187	1.49878	1.69234	3.19112	1.69234	0.499593	2.19193
0.999055	1.49858	1.69366	3.19224	1.69366	0.499528	2.19318
0.998933	1.4984	1.69517	3.19357	1.69517	0.499466	2.19464
0.998837	1.49826	1.69685	3.1951	1.69685	0.499418	2.19627
0.998781	1.49817	1.69864	3.19682	1.69864	0.499391	2.19803
0.998778	1.49817	1.70048	3.19865	1.70048	0.499389	2.19987
0.998833	1.49825	1.70229	3.20054	1.70229	0.499417	2.2017
0.998952	1.49843	1.70396	3.20239	1.70396	0.499476	2.20344
0.999133	1.4987	1.70541	3.20411	1.70541	0.499566	2.20497
0.999371	1.49906	1.70654	3.2056	1.70654	0.499686	2.20623
0.99966	1.49949	1.70728	3.20677	1.70728	0.49983	2.20711
0.999992	1.49999	1.70754	3.20753	1.70754	0.499996	2.20754
1.00036	1.50054	1.70729	3.20783	1.70729	0.500179	2.20747
1.00075	1.50112	1.70646	3.20759	1.70646	0.500375	2.20684
1.00116	1.50174	1.70503	3.20677	1.70503	0.50058	2.20561
1.00158	1.50237	1.70298	3.20535	1.70298	0.50079	2.20377
1.00199	1.50299	1.70029	3.20328	1.70029	0.500996	2.20129
1.00238	1.50357	1.69701	3.20057	1.69701	0.501189	2.1982
1.0027	1.50406	1.69318	3.19724	1.69318	0.501352	2.19453
1.00294	1.50441	1.68892	3.19333	1.68892	0.501471	2.19039
1.00306	1.50459	1.68439	3.18898	1.68439	0.501531	2.18592
1.00305	1.50458	1.67977	3.18435	1.67977	0.501526	2.1813
1.00291	1.50437	1.67527	3.17964	1.67527	0.501457	2.17673
1.00266	1.50399	1.67107	3.17506	1.67107	0.501332	2.1724
1.00233	1.50349	1.6673	3.1708	1.6673	0.501164	2.16847
1.00193	1.5029	1.6641	3.167	1.6641	0.500967	2.16506
1.00151	1.50226	1.6615	3.16377	1.6615	0.500755	2.16226
