# Created on: Wed Jun  6 16:40:15 2018
# X	Y	Z	Vx	Vy	Vz	Fx	Fy	Fz
7.12644	13.5172	6.53773	0.534631	-1.41367	-2.85802	-0.738608	0.0864087	0.096569
1.21485	11.5234	4.70298	1.74098	-0.175906	1.67347	0.896945	0.359062	0.329321
9.45963	16.1614	10.3469	-0.579469	-2.16568	-6.02241	0.961267	-0.666553	-0.542717
11.1737	8.66476	15.0852	4.54032	-0.590385	5.16258	0.340679	-0.158717	-0.0206611
3.47542	13.6923	6.22066	1.35412	-0.0468584	3.70136	-0.100293	-0.745646	-0.687933
9.42229	13.0402	13.1707	-1.418	4.02627	-2.80137	0.720764	0.515903	0.382811
3.30288	1.96908	1.46652	-0.216337	-3.07596	-0.0544574	1.93472	1.36908	0.132771
14.1073	7.08745	0.611612	-0.211882	5.50617	-0.306089	0.38597	-0.879591	0.425811
10.9179	17.026	16.7514	-4.6791	-1.61171	-1.85623	0.809729	1.13949	0.231202
10.305	1.96104	12.9151	-0.938632	5.96566	-1.79974	0.0449904	-1.02634	0.773466
5.80983	9.04804	0.399335	3.16565	2.88922	-1.74708	2.09469	0.00379415	-0.0685418
0.880657	7.22713	11.5417	-3.93614	4.87618	0.171284	-1.91907	-0.206036	-0.0244261
7.36712	7.85275	11.1867	2.36139	0.429489	-1.91463	0.299421	0.496802	-1.06744
12.436	11.9686	4.74323	3.10019	-0.61932	-4.41441	-0.886867	-0.797226	-1.3477
8.67576	15.9871	16.0492	-2.70439	-1.48373	-0.46258	-0.11664	0.192222	-2.27446
5.01987	2.09036	14.5066	0.122648	1.75298	2.32236	0.494991	-0.421781	0.374545
15.9866	5.73063	12.264	0.788168	0.394604	1.52766	-0.497807	0.264738	-1.11189
5.46165	3.97536	6.88585	0.0945887	-4.09631	-1.90834	-0.717148	-0.597067	0.473518
15.5516	4.54703	9.42219	-0.658629	1.54979	2.88432	0.864771	1.36154	0.119147
0.676965	7.26225	11.9424	-0.266818	-0.984324	4.49313	-2.16617	0.379054	0.997165
0.512953	7.30332	16.1261	-1.52262	0.448612	-1.33793	0.5863	1.78609	-2.03944
7.34684	8.67847	6.87708	1.73628	0.308244	-0.388719	0.293649	0.99906	-0.500013
6.47821	7.15699	15.6751	3.10961	2.19825	4.00387	-0.800901	0.383788	-0.393231
12.3088	9.80207	14.3668	0.93636	-2.28683	1.23553	0.244863	-0.25545	0.619726
6.64994	16.0002	15.856	-1.12307	2.24437	-4.48789	0.937177	0.706403	0.971699
8.83985	4.33491	0.611206	-2.34201	-3.18826	-1.29479	0.586773	0.0938564	0.0877187
14.7947	16.4152	10.4396	1.89698	-2.79099	2.91446	2.45994	-0.125963	-1.47643
0.547744	11.3733	15.9883	1.93356	-0.428657	3.74202	0.453111	-0.168313	0.885907
2.42961	13.9838	1.90805	5.25525	0.157508	-2.38474	-0.465134	0.707284	0.924108
9.9387	4.33445	16.9703	3.93377	8.93696	1.3667	-0.486502	0.984096	0.517009
1.9971	0.661993	9.10384	4.61711	-5.65944	-0.00632312	0.240001	1.86992	-0.184876
11.8582	10.1048	7.35577	3.92308	0.338198	-0.430739	1.41444	-1.19407	0.196069
13.4075	6.90898	2.49284	4.74209	-0.942532	2.97098	2.66131	0.349206	2.83759
13.1013	6.56091	15.0605	2.90409	-2.12545	-2.09677	-1.63239	0.333464	-0.0355382
13.8425	12.0681	3.91331	3.07319	4.77853	-6.17039	-0.489846	-0.197422	-1.62424
13.7984	14.1657	6.71072	-2.95143	-5.27409	-3.423	0.0809797	0.727767	1.39725
6.21344	0.110384	2.61695	2.88999	2.76365	0.782163	-0.241002	0.323038	-0.120429
4.99587	15.2885	10.184	-2.35034	2.56534	0.204984	-0.341388	0.606883	-1.94176
11.5563	5.836	1.07009	4.90971	-0.623834	-3.80151	-1.26643	1.41733	-1.27697
4.02346	8.69993	15.0254	0.694974	1.54893	-4.64359	0.455969	-0.522459	-0.686874
7.78218	6.95988	7.11503	1.41666	2.3425	-4.28633	0.628503	-0.133429	-0.866935
3.10364	1.81775	4.00588	0.0196808	-1.37709	3.41392	-0.69395	-0.224027	-0.649129
13.7296	11.6406	0.902339	-4.5094	-2.00375	-2.52819	-0.191796	0.164137	0.391475
11.432	17.2394	13.9967	0.00773544	3.54965	4.80264	-0.849658	-1.21431	0.62511
8.09322	6.94272	9.96648	1.4851	-3.107	-1.24281	-0.325965	0.101746	1.09336
17.5635	10.4215	17.4308	2.1511	-7.23098	2.54265	0.481936	0.184083	-0.161444
4.09127	3.2529	6.13954	-0.127832	-1.29139	3.3247	0.892856	-0.633407	-0.154776
14.9273	4.68528	14.6577	2.72614	4.77842	-3.28116	-0.243501	0.503295	0.36413
8.46024	9.5943	2.03822	4.38483	4.57839	3.62483	0.0384013	-0.30568	1.62174
13.8856	17.3313	14.5217	1.5389	0.0274566	-0.752874	-1.04545	-2.01425	-0.388234
3.07755	7.44582	10.2716	0.588782	2.12484	-4.33343	0.663432	-0.949993	-0.779206
16.6086	3.29845	10.2115	-3.08113	-2.08633	5.00367	0.525988	0.921233	0.765073
6.23578	3.08289	13.7752	-1.22436	0.900079	-1.57486	-1.70491	0.171078	1.71648
14.6223	8.58158	5.70152	1.41912	-1.29806	2.56477	1.19051	-0.384667	-0.172964
17.3733	0.79592	5.29489	-3.50469	4.45152	0.0394811	-0.835331	-0.374864	-0.418519
6.55945	6.98039	3.75393	0.27654	-3.81094	-0.0644297	0.507194	-1.19034	0.658818
3.02471	2.34693	7.45135	-0.878358	-1.85745	3.41896	2.30445	-0.455269	0.336842
4.31532	5.62266	6.00141	-1.98695	-0.764371	1.65528	0.382716	1.47417	-0.0786537
8.78347	13.1338	10.4438	1.34757	3.47339	0.890914	-0.752967	0.13514	-1.47944
7.5169	1.93064	17.1825	-9.16123	3.89619	1.70632	-0.0374447	0.394522	-1.53672
16.0013	7.95114	17.5097	-0.969884	-0.217852	0.04436	2.78849	-0.639028	-0.733805
7.69417	15.7761	9.29741	-0.509426	-3.80112	1.53724	-0.260247	-0.602049	0.0390707
1.95755	3.41496	15.6716	0.342474	7.30872	-2.99625	0.910855	-1.41895	-0.489537
16.8167	4.34696	4.03798	0.229021	0.9679	4.43798	0.111036	0.522429	0.373515
14.4797	9.66201	5.0114	3.58624	8.19632	0.183599	1.40551	0.700804	-0.256176
6.88224	12.3997	7.57745	5.52733	1.29722	3.38682	-0.220479	0.524591	0.455638
0.993583	10.4638	3.03138	3.10336	0.638048	-0.466501	0.792449	-0.0742309	-1.76462
3.70273	12.7059	8.5205	-7.80184	2.48196	0.425139	0.0108938	1.473	-1.12981
12.1365	1.5501	10.2715	1.05434	-3.80263	0.679009	-0.520193	-2.19764	0.909903
8.41491	3.94443	16.2541	3.00212	0.0806587	6.04938	-0.588354	0.622869	-0.405938
9.95823	12.9074	1.04359	0.303252	1.58917	0.306025	0.418003	0.328061	0.260197
5.06208	6.01188	4.42666	-6.20906	1.54651	1.05343	-0.695022	-0.0344548	-0.60102
0.769331	15.7771	7.95818	-6.54359	0.321712	-1.75171	-0.14821	-0.941931	-0.179785
7.5313	9.03623	16.0965	-3.93018	4.24581	-4.85672	0.342629	-1.00267	-0.791695
2.34766	10.1089	2.79593	-3.80468	5.0255	-4.22015	-1.46337	-0.291021	-1.19588
9.84788	9.15843	4.72966	0.994186	-4.39873	-2.45952	-1.8396	1.05621	-0.775612
6.55915	7.55577	16.225	-2.70513	-6.53628	6.7786	0.512034	0.124161	0.171992
16.0666	0.264716	7.39074	0.0529529	-0.656552	4.04726	-2.12194	-1.36146	0.691277
9.0593	1.13658	10.8358	-4.46196	0.0743782	0.570278	-0.0916933	1.33812	-1.9901
7.87195	2.80962	2.50034	-3.70371	4.54791	0.0122141	-1.28895	-0.921911	0.276442
5.08802	14.8798	6.69091	8.99201	-2.57916	-3.41626	1.75228	-0.48767	1.64759
1.6074	12.6076	13.4989	0.387958	-3.25782	-3.95821	0.790928	-0.234822	0.952003
12.7069	10.9045	4.29502	-4.09083	-1.78876	-1.82164	-0.74077	-1.1293	-0.640549
16.9114	11.0638	6.06941	-1.99533	-3.67029	2.44161	-1.54394	0.275797	-0.398902
13.4991	6.03308	9.95753	-3.25216	2.38913	-2.69787	0.167428	-0.269439	1.32989
14.4117	3.76646	9.91567	3.36725	-4.23553	4.24358	0.559285	-1.73208	1.04615
4.01224	0.648423	4.93565	0.744614	-0.751492	1.13486	-0.597608	-1.60401	0.747688
1.14532	17.2926	16.5863	-0.571305	-4.2924	2.90698	0.933202	-0.549996	0.855482
4.97442	8.04492	7.44217	-0.0427937	0.532692	-3.80705	-1.09725	-1.41673	-0.372479
16.995	3.08434	14.8245	7.31806	-2.40299	0.732062	0.0336263	-1.07164	-1.8726
1.25803	11.6144	0.255343	2.1589	1.25527	4.58876	-0.858358	-1.74093	-0.378931
7.4104	8.43383	3.72558	0.860058	1.66718	0.244277	1.70175	0.167547	1.33299
14.6389	2.01633	0.648507	0.13371	-3.04738	-0.0599967	0.363422	-0.525081	0.993887
15.3646	6.9489	4.17446	6.97656	2.58325	3.25662	-1.35137	-0.38943	-0.969804
13.4962	9.84631	12.2862	3.46158	0.412414	3.02569	-0.727624	-0.600736	-0.147498
14.3471	12.6965	4.60243	-0.362439	1.34821	0.710567	0.238693	0.402154	-0.251919
15.9152	14.4083	1.75943	0.955472	4.98408	0.0076914	0.418856	0.99075	-0.58679
12.132	13.372	5.32058	2.06443	1.6879	-0.472843	0.0129261	0.425699	0.620864
13.5878	12.245	15.5426	0.0577428	1.20067	-2.67512	-0.861413	1.5074	1.6672
0.341837	9.2916	14.2446	-3.3411	0.569071	3.36301	0.252183	-0.636876	0.0251018
16.169	9.26986	15.7984	2.35756	4.05551	-0.431571	1.26552	1.51224	0.846273
10.1225	12.4934	0.41555	3.76753	1.53883	-2.31733	0.244512	-0.642058	-0.894846
1.35243	6.36697	16.3743	-2.22176	2.27033	0.0903071	0.990703	-0.0970866	0.0421333
12.9558	9.20962	0.662377	-0.991766	-3.61678	4.73773	-0.166254	1.62238	-1.22993
8.60707	8.98193	1.78485	-3.76665	0.502632	-1.49139	0.498939	-1.42985	1.02995
6.95204	14.1146	0.605052	4.08446	0.554421	-1.8333	-1.27833	0.479783	0.459052
8.44263	16.7027	5.40468	6.52127	2.79175	-1.27559	-0.745122	0.17067	0.570536
